Genus,Zooxanthellate ,Azooxanthellate,Both,notes
Acanthastrea,x,,,
Anthemiphyllia,,x,,
Aulocyathus,,x,,
Balanophyllia,,,x,in reef setting
Bathelia,,x,,
Caryophyllia,,x,,
Ceratotrochus,,x,,
Cladangia,,x,,
Cladocora,,,x,in reef setting
Coenocyathus,,x,,
Crispatotrochus,,x,,
Cryptangia,,x,,
Culicia,,x,,
Cyphastrea,x,,,
Defrancia,x,,,
Deltocyathus,,x,,
Dendrophyllia,,x,,
Desmophyllum,,x,,
Diploastrea,x,,,
Diploria,x,,,
Dipsastraea,x,,,
Echinopora,x,,,
Enallopsammia,,x,,
Eupsammia,,,x,not in reef setting
Favites,x,,,
Flabellum,,x,,
Gardineria,,x,,
Goniastrea,x,,,
Goniopora,x,,,
Heliastraea,x,,,
Javania,,x,,
Labyrinthocyathus,,x,,
Lophelia,,x,,
Madracis,,,x,not in reef setting
Madrepora,,x,,
Mioscapophyllia,x,,,
Montastraea,x,,,
Mycedium,x,,,
Oculina,,,x,not in reef setting
Orbicella,x,,,
Pagodatrochus,,x,,
Paleoastroides,,x,,
Paracyathus,,x,,
Platygyra,x,,,
Plesiastrea,x,,,
Porites,x,,,
Pourtalosmilia,,x,,
Scolymia,x,,,
Siderastrea,x,,,
Solenastrea,x,,,
Sphenotrochus,,x,,
Stephanocyathus,,x,,
Stephanophyllia,,x,,
Stylophora,x,,,
Tarbellastraea,x,,,
Tethocyathus,,x,,
Trochocyathus,,x,,
